,DayNum,LScore,LTeamID,LTseed,NumOT,Season,WLoc,WScore,WTeamID,WTseed,index
0,11,70,1272,,0,2018,N,82,1104,07,150684
1,11,67,1233,,0,2018,H,69,1107,,150685
2,11,67,1319,,0,2018,H,101,1112,04,150686
3,11,74,1226,,0,2018,H,94,1113,08,150687
4,11,56,1359,,0,2018,H,95,1116,10,150688
5,11,74,1313,,0,2018,H,102,1120,02,150689
6,11,66,1146,,0,2018,H,107,1124,11,150690
7,11,59,1288,,0,2018,H,76,1127,,150691
8,11,65,1263,,0,2018,H,85,1130,,150692
9,11,69,1180,,0,2018,A,78,1132,,150693
10,11,64,1244,,0,2018,H,82,1139,07,150694
11,11,77,1366,16,0,2018,H,107,1153,03,150695
12,11,57,1441,,0,2018,H,85,1155,03,150696
13,11,60,1373,,1,2018,H,68,1158,,150697
14,11,51,1294,,0,2018,H,66,1160,,150698
15,11,61,1170,,0,2018,H,72,1161,,150699
16,11,58,1159,,0,2018,H,70,1163,,150700
17,11,76,1463,,0,2018,H,92,1166,07,150701
18,11,62,1149,14,0,2018,H,110,1172,,150702
19,11,77,1123,,0,2018,H,78,1173,,150703
20,11,63,1350,,0,2018,A,76,1174,,150704
21,11,68,1189,,0,2018,H,97,1181,02,150705
22,11,72,1349,,0,2018,A,73,1184,,150706
23,11,63,1117,,0,2018,H,77,1191,,150707
24,11,75,1224,,0,2018,H,84,1203,,150708
25,11,83,1448,,0,2018,A,85,1204,,150709
26,11,65,1248,,0,2018,H,67,1206,,150710
27,11,54,1136,,0,2018,H,79,1208,,150711
28,11,69,1411,,0,2018,H,97,1211,05,150712
29,11,51,1197,,0,2018,H,67,1213,,150713
30,11,84,1148,,1,2018,H,85,1216,,150714
31,11,70,1115,,0,2018,H,82,1218,,150715
32,11,66,1456,,0,2018,H,100,1219,,150716
33,11,74,1119,,0,2018,H,77,1220,,150717
34,11,64,1357,,0,2018,A,69,1221,,150718
35,11,53,1270,,0,2018,H,81,1222,09,150719
36,11,55,1300,,0,2018,H,65,1227,,150720
37,11,55,1380,16,0,2018,H,102,1228,,150721
38,11,69,1231,,0,2018,A,90,1232,,150722
39,11,62,1152,,0,2018,H,95,1234,,150723
40,11,56,1398,,0,2018,H,92,1242,01,150724
41,11,45,1110,,0,2018,H,83,1243,11,150725
42,11,63,1430,,0,2018,H,73,1246,06,150726
43,11,67,1409,,0,2018,A,74,1249,,150727
44,11,71,1362,,0,2018,A,83,1253,,150728
45,11,80,1460,15,0,2018,H,84,1260,12,150729
