,DayNum,LScore,LTeamID,LTseed,Lsea,NumOT,Season,WLoc,WScore,WTeamID,WTseed,Wsea,index
0,11,57,1420,,,0,2015,H,74,1103,,,134566
1,11,54,1406,,,0,2015,H,82,1104,,,134567
2,11,55,1291,,,0,2015,H,78,1112,02,Z,134568
3,11,50,1152,,,0,2015,H,86,1113,,,134569
4,11,78,1102,,,0,2015,H,84,1119,,,134570
5,11,73,1454,,,0,2015,H,83,1120,,,134571
6,11,39,1270,,,0,2015,H,80,1124,03,Z,134572
7,11,75,1360,,,0,2015,N,81,1129,11,W,134573
8,11,50,1306,,,0,2015,H,58,1130,,,134574
9,11,58,1389,,,0,2015,H,70,1135,,,134575
10,11,72,1265,,,0,2015,H,75,1137,,,134576
11,11,67,1355,,,0,2015,H,69,1138,12,Y,134577
12,11,90,1253,,,0,2015,H,95,1140,11,Z,134578
13,11,57,1108,,,0,2015,H,91,1143,,,134579
14,11,65,1279,11,Z,1,2015,A,66,1149,,,134580
15,11,37,1384,,,0,2015,H,52,1153,08,Y,134581
16,11,41,1197,,,0,2015,H,86,1155,,,134582
17,11,40,1202,,,0,2015,A,75,1158,,,134583
18,11,48,1180,,,0,2015,H,65,1160,,,134584
19,11,53,1136,,,0,2015,H,66,1163,,,134585
20,11,60,1206,,,0,2015,A,68,1165,,,134586
21,11,77,1146,,,0,2015,H,104,1166,,,134587
22,11,52,1105,,,0,2015,H,76,1173,11,W,134588
23,11,71,1227,,,0,2015,H,72,1177,,,134589
24,11,44,1342,,,0,2015,H,113,1181,01,X,134590
25,11,53,1366,,,0,2015,H,76,1184,,,134591
26,11,62,1411,15,Z,0,2015,H,86,1186,13,X,134592
27,11,58,1194,,,0,2015,H,64,1189,,,134593
28,11,57,1386,,,0,2015,A,58,1192,,,134594
29,11,63,1148,,,0,2015,N,71,1193,,,134595
30,11,45,1456,,,0,2015,H,68,1196,,,134596
31,11,40,1212,,,0,2015,H,92,1203,,,134597
32,11,73,1208,10,W,0,2015,H,80,1210,,,134598
33,11,58,1170,,,0,2015,H,104,1211,02,X,134599
34,11,57,1115,,,0,2015,H,85,1218,,,134600
35,11,99,1167,,,4,2015,N,100,1219,,,134601
36,11,61,1239,,,0,2015,H,94,1220,,,134602
37,11,74,1293,,,0,2015,A,77,1222,,,134603
38,11,71,1204,,,0,2015,H,80,1228,,,134604
39,11,65,1290,,,0,2015,H,116,1231,10,Y,134605
40,11,66,1237,,,1,2015,A,79,1232,,,134606
41,11,73,1156,,,0,2015,H,78,1233,,,134607
42,11,56,1214,16,Y,0,2015,H,90,1234,07,X,134608
43,11,82,1324,,,0,2015,H,93,1235,03,X,134609
44,11,59,1364,,,0,2015,H,69,1242,02,Y,134610
45,11,68,1381,,,0,2015,H,98,1243,,,134611
46,11,45,1213,,,0,2015,H,85,1246,01,Y,134612
47,11,50,1352,16,X,0,2015,A,77,1248,16,W,134613
48,11,76,1380,,,0,2015,A,85,1256,,,134614
49,11,68,1278,,,0,2015,N,81,1257,04,W,134615
50,11,66,1369,,,0,2015,H,76,1258,,,134616
51,11,63,1404,,,0,2015,H,79,1266,,,134617
52,11,55,1240,,,0,2015,H,74,1267,,,134618
53,11,48,1447,,,0,2015,H,82,1268,04,Y,134619
54,11,87,1373,,,0,2015,H,95,1269,,,134620
55,11,49,1224,,,0,2015,H,84,1274,,,134621
56,11,59,1298,,,0,2015,A,64,1277,07,W,134622
57,11,56,1441,,,0,2015,H,66,1280,,,134623
58,11,61,1281,,,0,2015,A,69,1282,,,134624
59,11,53,1183,,,0,2015,H,64,1283,,,134625
60,11,58,1238,,,0,2015,H,93,1301,08,W,134626
61,11,55,1226,,,0,2015,H,79,1307,,,134627
62,11,60,1300,,,0,2015,H,76,1314,04,Z,134628
63,11,58,1223,,,0,2015,H,65,1321,,,134629
64,11,39,1127,,,0,2015,H,82,1323,03,Y,134630
65,11,55,1262,,,0,2015,H,92,1326,10,Z,134631
66,11,55,1368,,,0,2015,H,83,1329,09,Z,134632
67,11,65,1164,,,0,2015,H,107,1332,08,Z,134633
68,11,54,1349,,,0,2015,H,67,1333,,,134634
69,11,71,1442,,,1,2015,A,73,1334,,,134635
70,11,48,1288,,,0,2015,H,61,1336,,,134636
71,11,74,1201,,,0,2015,H,89,1337,,,134637
72,11,45,1310,,,0,2015,H,78,1338,,,134638
73,11,58,1351,,,0,2015,H,64,1343,,,134639
74,11,40,1359,,,0,2015,H,80,1345,09,Y,134640
75,11,85,1463,,,2,2015,H,88,1346,,,134641
76,11,46,1347,,,0,2015,H,64,1350,,,134642
77,11,53,1216,,,0,2015,N,71,1357,,,134643
78,11,58,1169,,,0,2015,H,79,1361,08,X,134644
79,11,72,1168,,,0,2015,H,89,1365,,,134645
80,11,54,1249,,,0,2015,H,93,1374,06,X,134646
81,11,56,1316,16,X,0,2015,H,81,1376,,,134647
82,11,58,1312,,,0,2015,H,77,1385,09,X,134648
83,11,59,1459,12,Z,0,2015,H,74,1390,,,134649
84,11,56,1162,,,0,2015,H,57,1392,,,134650
85,11,42,1244,,,0,2015,H,89,1393,,,134651
86,11,54,1341,,,0,2015,H,71,1395,,,134652
87,11,37,1110,,,0,2015,H,40,1396,,,134653
88,11,50,1295,15,X,0,2015,H,85,1400,11,Y,134654
89,11,68,1322,,,0,2015,H,109,1401,,,134655
90,11,53,1370,,,0,2015,A,62,1402,,,134656
91,11,59,1259,,,0,2015,H,71,1403,,,134657
92,11,78,1286,,,0,2015,H,113,1417,11,X,134658
93,11,59,1287,,,0,2015,H,60,1424,,,134659
94,11,75,1133,,,0,2015,A,86,1426,,,134660
95,11,72,1123,,,0,2015,H,90,1428,05,X,134661
96,11,61,1451,,,0,2015,H,72,1429,,,134662
97,11,52,1377,,,0,2015,H,60,1430,,,134663
98,11,52,1450,,,0,2015,H,65,1431,,,134664
99,11,69,1397,,,0,2015,N,85,1433,07,Z,134665
100,11,76,1190,,,0,2015,H,90,1434,13,Y,134666
101,11,66,1250,,,0,2015,N,77,1437,01,W,134667
102,11,51,1241,,,0,2015,A,79,1438,02,W,134668
103,11,46,1271,,,0,2015,H,71,1439,,,134669
104,11,65,1154,,,0,2015,N,66,1440,,,134670
105,11,69,1421,,,0,2015,H,80,1448,,,134671
106,11,59,1354,,,0,2015,H,77,1449,,,134672
107,11,54,1284,,,0,2015,H,64,1452,05,Y,134673
108,11,54,1308,15,Y,0,2015,H,71,1455,07,Y,134674
109,11,31,1297,,,0,2015,H,62,1458,01,Z,134675
110,11,70,1125,15,W,0,2015,H,73,1460,,,134676
111,11,60,1319,,,0,2015,H,93,1462,06,Z,134677
112,12,55,1154,,,0,2015,N,68,1102,,,134678
113,12,86,1440,,,0,2015,N,92,1119,,,134679
114,12,69,1258,,,0,2015,A,77,1129,11,W,134680
115,12,58,1179,,,0,2015,A,77,1132,,,134681
116,12,57,1263,,,0,2015,H,99,1139,06,Y,134682
117,12,60,1436,,,0,2015,H,64,1145,,,134683
118,12,66,1285,,,0,2015,H,83,1161,,,134684
119,12,75,1335,,,1,2015,A,77,1175,,,134685
120,12,59,1193,,,0,2015,H,109,1181,01,X,134686
121,12,66,1264,16,Y,0,2015,H,81,1199,,,134687
122,12,62,1383,,,0,2015,H,83,1207,04,X,134688
123,12,65,1167,,,0,2015,H,72,1218,,,134689
124,12,62,1115,,,0,2015,N,74,1219,,,134690
125,12,61,1464,,,0,2015,A,69,1245,,,134691
126,12,52,1159,,,0,2015,H,57,1247,,,134692
127,12,82,1205,,,0,2015,H,93,1261,09,W,134693
128,12,49,1142,,,0,2015,H,65,1305,,,134694
129,12,52,1315,,,0,2015,H,64,1320,05,W,134695
