DayNum,LScore,LTeamID,LTseed,NumOT,Season,WLoc,WScore,WTeamID,WTseed,index
11,64,1244,,0,2016,H,77,1104,,139920
11,67,1408,,1,2016,A,68,1105,,139921
11,61,1334,,0,2016,H,79,1112,6,139922
11,56,1370,,0,2016,A,58,1115,,139923
11,68,1380,16,0,2016,H,86,1116,,139924
11,74,1412,,0,2016,H,75,1120,,139925
11,55,1372,14,0,2016,H,97,1124,5,139926
11,80,1266,,0,2016,A,83,1125,,139927
11,53,1123,,0,2016,H,54,1133,,139928
11,54,1430,,0,2016,H,85,1140,,139929
11,83,1240,,0,2016,H,89,1141,,139930
11,65,1349,,0,2016,H,97,1143,4,139931
11,90,1208,,1,2016,A,92,1151,12,139932
11,72,1441,,0,2016,H,97,1153,9,139933
11,40,1300,,0,2016,H,74,1155,,139934
11,54,1354,,0,2016,H,74,1158,,139935
11,53,1206,,0,2016,A,66,1159,,139936
11,56,1263,,0,2016,H,100,1163,9,139937
11,63,1113,,0,2016,A,66,1170,,139938
11,53,1369,,0,2016,H,84,1173,7,139939
11,56,1175,,0,2016,A,62,1174,,139940
11,74,1373,,0,2016,H,92,1181,4,139941
11,80,1164,,0,2016,H,107,1184,,139942
11,50,1436,,0,2016,H,70,1185,,139943
11,53,1212,,0,2016,H,61,1187,,139944
11,70,1117,,0,2016,H,79,1188,,139945
11,74,1150,,0,2016,A,85,1189,,139946
11,41,1298,,0,2016,A,59,1196,,139947
11,66,1337,,0,2016,H,69,1201,14,139948
11,53,1342,,0,2016,H,63,1202,,139949
11,76,1248,,0,2016,H,85,1203,,139950
11,81,1165,,0,2016,H,116,1210,,139951
11,72,1340,,0,2016,H,82,1213,,139952
11,83,1148,,2,2016,A,92,1216,,139953
11,76,1286,,0,2016,H,87,1218,13,139954
11,85,1145,,0,2016,H,96,1220,,139955
11,64,1265,,0,2016,A,67,1221,16,139956
11,49,1183,,0,2016,H,88,1231,5,139957
11,59,1205,,0,2016,H,76,1234,7,139958
11,62,1160,8,0,2016,N,68,1235,4,139959
11,70,1232,,0,2016,A,72,1237,,139960
11,75,1350,,0,2016,A,87,1241,,139961
11,72,1294,,0,2016,H,109,1242,1,139962
11,53,1271,,0,2016,H,80,1243,,139963
11,65,1107,,0,2016,H,78,1246,4,139964
11,63,1365,,2,2016,A,65,1252,,139965
11,45,1359,,0,2016,H,86,1257,,139966
11,74,1168,,0,2016,H,79,1258,,139967
11,64,1427,,0,2016,H,76,1260,,139968
11,70,1270,,0,2016,H,81,1261,,139969
11,56,1291,,0,2016,H,80,1268,5,139970
11,59,1410,,0,2016,H,86,1274,3,139971
11,55,1194,,0,2016,H,82,1277,2,139972
11,58,1282,,0,2016,H,76,1278,,139973
11,76,1322,,0,2016,H,90,1279,,139974
11,88,1186,,0,2016,H,106,1280,,139975
11,74,1459,,0,2016,H,83,1281,,139976
11,81,1417,,1,2016,A,84,1284,,139977
11,72,1129,,0,2016,H,74,1285,,139978
11,71,1413,,1,2016,A,79,1295,,139979
11,71,1169,,0,2016,H,83,1296,,139980
11,56,1157,,0,2016,N,73,1305,,139981
