DayNum,LScore,LTeamID,LTseed,NumOT,Season,WLoc,WScore,WTeamID,WTseed,index
11,53,1157,,0,2017,H,70,1104,,145289
11,81,1336,,0,2017,A,87,1107,,145290
11,63,1277,9,0,2017,N,65,1112,2,145291
11,70,1340,,0,2017,H,88,1113,,145292
11,83,1236,,0,2017,H,92,1116,8,145293
11,66,1316,,0,2017,H,83,1120,,145294
11,64,1387,,0,2017,A,85,1123,,145295
11,61,1331,,0,2017,H,76,1124,3,145296
11,62,1165,,0,2017,H,68,1127,,145297
11,64,1264,,0,2017,H,76,1137,13,145298
11,66,1310,,0,2017,A,76,1138,,145299
11,53,1355,16,0,2017,H,82,1143,,145300
11,60,1216,,0,2017,H,75,1148,,145301
11,69,1397,,0,2017,A,82,1151,,145302
11,55,1135,,0,2017,H,84,1153,6,145303
11,64,1208,,0,2017,H,74,1155,,145304
11,68,1154,,0,2017,H,81,1158,,145305
11,53,1170,,0,2017,H,90,1160,,145306
11,66,1392,,0,2017,A,73,1162,,145307
11,82,1282,,0,2017,H,89,1166,6,145308
11,68,1122,,0,2017,H,96,1173,7,145309
11,49,1265,,0,2017,H,94,1181,2,145310
11,60,1259,,0,2017,H,65,1182,,145311
11,87,1237,,0,2017,H,97,1184,,145312
11,57,1212,,0,2017,H,72,1187,,145313
11,68,1218,,0,2017,A,69,1188,,145314
11,59,1200,,0,2017,H,96,1190,13,145315
11,63,1357,,0,2017,H,85,1193,,145316
11,59,1195,14,0,2017,N,80,1196,4,145317
11,66,1427,,0,2017,H,69,1201,,145318
11,71,1271,,0,2017,H,75,1203,,145319
11,55,1399,,0,2017,H,70,1210,,145320
11,69,1430,,0,2017,H,92,1211,1,145321
11,72,1164,,0,2017,H,74,1220,,145322
11,52,1288,,0,2017,H,93,1222,,145323
11,62,1369,,0,2017,H,81,1228,,145324
11,99,1242,1,1,2017,N,103,1231,,145325
11,74,1244,,0,2017,H,91,1234,,145326
11,71,1366,,0,2017,H,113,1235,5,145327
11,73,1409,,0,2017,A,84,1240,15,145328
11,55,1442,,0,2017,H,82,1243,11,145329
11,64,1372,,0,2017,H,87,1246,2,145330
11,47,1191,,0,2017,H,78,1257,2,145331
11,44,1108,,0,2017,H,69,1260,,145332
11,71,1435,9,0,2017,N,95,1266,10,145333
11,56,1110,,0,2017,H,62,1268,6,145334
11,76,1262,,0,2017,H,90,1269,,145335
11,43,1441,,0,2017,H,92,1274,8,145336
11,58,1224,,0,2017,H,76,1276,7,145337
11,74,1418,,0,2017,H,86,1278,5,145338
11,83,1404,,0,2017,H,86,1279,,145339
11,74,1313,,0,2017,H,78,1280,,145340
11,62,1105,,0,2017,H,96,1283,,145341
11,65,1180,,0,2017,H,78,1284,,145342
11,70,1229,,0,2017,H,73,1293,,145343
11,66,1117,,0,2017,H,76,1295,,145344
11,78,1232,,1,2017,H,80,1296,,145345
11,79,1204,,0,2017,H,81,1301,,145346
11,70,1226,,0,2017,H,81,1307,,145347
11,73,1130,,0,2017,A,79,1311,,145348
11,75,1408,,0,2017,N,95,1314,1,145349
11,77,1131,,0,2017,H,87,1318,,145350
11,63,1290,,0,2017,H,94,1321,8,145351
11,70,1132,,0,2017,H,78,1324,,145352
11,68,1298,,0,2017,A,78,1326,,145353
11,65,1144,,0,2017,H,102,1329,10,145354
11,55,1241,,0,2017,H,62,1330,,145355
11,77,1119,,0,2017,H,91,1332,3,145356
11,58,1341,,0,2017,H,78,1333,,145357
11,50,1352,,0,2017,A,67,1335,,145358
11,68,1142,,0,2017,H,77,1337,,145359
11,90,1185,,2,2017,H,93,1338,,145360
11,55,1415,,0,2017,H,71,1339,,145361
11,71,1202,,0,2017,H,73,1342,,145362
11,65,1270,,0,2017,H,109,1345,4,145363
11,61,1171,,0,2017,H,84,1348,11,145364
11,69,1440,,0,2017,H,72,1350,,145365
11,56,1214,,0,2017,A,67,1351,,145366
11,59,1360,,0,2017,H,69,1361,,145367
11,80,1227,,0,2017,H,82,1362,,145368
11,64,1319,,0,2017,H,67,1365,,145369
11,70,1192,,0,2017,H,91,1371,9,145370
11,44,1205,,0,2017,H,72,1374,6,145371
11,68,1424,,0,2017,A,76,1375,,145372
11,76,1256,,0,2017,H,85,1376,7,145373
11,74,1179,,0,2017,A,79,1377,,145374
11,73,1197,,0,2017,H,84,1378,,145375
11,53,1126,,0,2017,H,100,1385,,145376
11,63,1305,12,0,2017,H,81,1388,7,145377
11,70,1217,,0,2017,N,80,1390,,145378
11,55,1159,,0,2017,H,83,1393,,145379
11,92,1247,,1,2017,H,97,1396,,145380
11,64,1413,16,0,2017,N,78,1398,,145381
11,73,1230,,0,2017,H,78,1400,,145382
11,44,1322,,0,2017,H,72,1401,,145383
11,57,1194,,0,2017,N,61,1402,,145384
11,67,1223,,0,2017,H,93,1403,,145385
11,66,1115,,0,2017,H,86,1412,,145386
11,80,1334,,0,2017,H,119,1417,3,145387
11,61,1285,,0,2017,H,75,1425,11,145388
11,56,1414,,0,2017,A,72,1429,,145389
11,65,1421,,0,2017,H,80,1433,10,145390
11,65,1381,,0,2017,H,79,1434,,145391
11,48,1248,,0,2017,H,88,1437,1,145392
11,51,1422,,0,2017,A,76,1438,5,145393
11,67,1263,,0,2017,H,80,1439,9,145394
11,58,1163,,0,2017,A,67,1447,,145395
11,59,1347,,0,2017,H,80,1448,11,145396
11,65,1286,,0,2017,H,69,1450,,145397
11,59,1291,16,0,2017,H,87,1452,4,145398
11,39,1354,,0,2017,H,85,1455,10,145399
11,47,1146,,0,2017,H,79,1458,8,145400
11,81,1356,,0,2017,A,85,1460,,145401
11,81,1250,,0,2017,H,84,1462,11,145402
12,52,1294,,0,2017,H,89,1139,4,145403
12,74,1111,,0,2017,H,86,1172,,145404
12,61,1213,,0,2017,H,96,1181,2,145405
12,67,1149,,0,2017,H,88,1199,3,145406
12,60,1367,,0,2017,H,105,1207,,145407
12,84,1176,,0,2017,A,92,1239,,145408
12,74,1156,,1,2017,N,79,1245,14,145409
12,69,1459,,0,2017,H,91,1261,,145410
12,69,1300,16,0,2017,H,81,1267,,145411
12,60,1364,,0,2017,A,74,1303,,145412
12,64,1136,,0,2017,H,89,1323,5,145413
12,67,1380,,0,2017,H,77,1325,,145414
12,82,1384,,0,2017,H,92,1382,,145415
12,76,1405,,0,2017,H,77,1386,,145416
12,65,1319,,0,2017,N,69,1398,,145417
12,61,1206,,0,2017,A,67,1406,,145418
12,58,1365,,0,2017,A,63,1413,16,145419
12,82,1411,16,0,2017,H,89,1426,,145420
12,70,1346,,0,2017,A,94,1436,13,145421
12,66,1106,,0,2017,H,79,1443,,145422
12,82,1103,,0,2017,H,90,1464,,145423
13,74,1142,,0,2017,H,96,1113,,145424
13,79,1310,,0,2017,H,88,1135,,145425
13,61,1308,14,0,2017,H,64,1161,,145426
13,100,1340,,2,2017,H,106,1168,,145427
13,49,1133,,0,2017,A,63,1174,,145428
13,72,1352,,0,2017,H,78,1177,,145429
13,68,1194,,0,2017,N,77,1188,,145430
13,54,1273,,0,2017,N,76,1196,4,145431
