ID,Pred
2014_1107_1110,4.868550079986477e-17
2014_1107_1112,4.868550079986477e-17
2014_1107_1113,4.868550079986477e-17
2014_1107_1124,4.868550079986477e-17
2014_1107_1140,4.868550079986477e-17
2014_1107_1142,4.868550079986477e-17
2014_1107_1153,4.868550079986477e-17
2014_1107_1157,4.868550079986477e-17
2014_1107_1160,4.868550079986477e-17
2014_1107_1163,9.737097439168236e-17
2014_1107_1166,1.6642217368191292e-18
2014_1107_1173,9.737100159972954e-17
2014_1107_1174,4.868550079986477e-17
2014_1107_1181,4.868550079986477e-17
2014_1107_1184,4.868550079986477e-17
2014_1107_1196,6.570602800509447e-15
2014_1107_1203,4.868550079986477e-17
2014_1107_1211,3.735201674306719e-14
2014_1107_1217,0.9135844683681857
2014_1107_1234,9.737100159972954e-17
2014_1107_1235,0.0001424080534014807
2014_1107_1242,0.999894227225527
2014_1107_1243,9.737100159972954e-17
2014_1107_1246,0.07628737424259485
2014_1107_1257,8.34847135866395e-05
2014_1107_1264,4.603218686238841e-06
2014_1107_1269,4.868550079986477e-17
2014_1107_1272,0.9426935130308355
2014_1107_1273,0.9898915558307171
2014_1107_1276,0.0010072863301687654
2014_1107_1277,0.9875711355852186
2014_1107_1291,0.9999999925893137
2014_1107_1295,9.737100159972954e-17
2014_1107_1300,3.2152429832291816e-10
2014_1107_1301,9.737100159972954e-17
2014_1107_1304,5.117093472954118e-10
2014_1107_1307,4.868550079986477e-17
2014_1107_1308,9.737100159972954e-17
2014_1107_1314,0.004292126165532668
2014_1107_1326,0.007775952363480051
2014_1107_1328,0.00024478070038208555
2014_1107_1329,7.0363085514624724e-06
2014_1107_1332,0.9999999744374417
2014_1107_1338,0.6668556231592172
2014_1107_1344,0.0036730579253055756
2014_1107_1361,0.7994936464531169
2014_1107_1372,9.737100159972954e-17
2014_1107_1386,1.9344163587902305e-05
2014_1107_1387,1.796458270866322e-06
2014_1107_1390,0.7216843422453235
2014_1107_1393,0.001390785041622772
2014_1107_1397,0.9999996571962302
2014_1107_1400,1.7326021710924264e-05
2014_1107_1409,9.737100159972954e-17
2014_1107_1411,3.5887753534901426e-08
