,DayNum,LScore,LTeamID,LTseed,NumOT,Season,WLoc,WScore,WTeamID,WTseed,index
0,134,64,1264,16b,0,2015,N,74,1214,16a,1916
1,134,90,1140,11a,0,2015,N,94,1279,11b,1917
2,135,55,1129,11a,0,2015,N,56,1173,11b,1918
3,135,77,1316,16a,0,2015,N,81,1352,16b,1919
4,136,72,1411,15,0,2015,N,93,1112,02,1920
5,136,53,1459,12,0,2015,N,56,1116,05,1921
6,136,48,1400,11,0,2015,N,56,1139,06,1922
7,136,65,1345,09,1,2015,N,66,1153,08,1923
8,136,74,1186,13,0,2015,N,84,1207,04,1924
9,136,56,1124,03,0,2015,N,57,1209,14,1925
10,136,56,1214,16a,0,2015,N,79,1246,01,1926
11,136,65,1261,09,0,2015,N,66,1301,08,1927
12,136,65,1217,13,0,2015,N,67,1314,04,1928
13,136,65,1318,14,0,2015,N,69,1323,03,1929
14,136,72,1433,07,1,2015,N,75,1326,10,1930
15,136,59,1235,03,0,2015,N,60,1412,14,1931
16,136,59,1374,06,0,2015,N,60,1417,11,1932
17,136,50,1372,12,0,2015,N,57,1428,05,1933
18,136,52,1248,16,0,2015,N,93,1437,01,1934
19,136,57,1279,11b,0,2015,N,76,1462,06,1935
20,137,53,1344,06,0,2015,N,66,1173,11b,1936
21,137,56,1352,16b,0,2015,N,85,1181,01,1937
22,137,76,1295,15,0,2015,N,86,1211,02,1938
23,137,52,1172,10,0,2015,N,83,1234,07,1939
24,137,56,1308,15,0,2015,N,75,1242,02,1940
25,137,55,1414,13,0,2015,N,57,1257,04,1941
26,137,62,1434,13,0,2015,N,65,1268,04,1942
27,137,63,1208,10,0,2015,N,70,1277,07,1943
28,137,54,1461,12,0,2015,N,71,1320,05,1944
29,137,60,1107,14,0,2015,N,69,1328,03,1945
30,137,73,1329,09,0,2015,N,79,1332,08,1946
31,137,64,1385,09,0,2015,N,76,1361,08,1947
32,137,67,1125,15,0,2015,N,79,1438,02,1948
33,137,62,1138,12,0,2015,N,68,1452,05,1949
34,137,76,1231,10,0,2015,N,81,1455,07,1950
35,137,72,1157,16,0,2015,N,86,1458,01,1951
36,138,58,1326,10,0,2015,N,73,1112,02,1952
37,138,51,1153,08,0,2015,N,64,1246,01,1953
38,138,68,1437,01,0,2015,N,71,1301,08,1954
39,138,78,1116,05,0,2015,N,87,1314,04,1955
40,138,64,1139,06,1,2015,N,67,1323,03,1956
41,138,75,1412,14,0,2015,N,92,1417,11,1957
42,138,64,1207,04,0,2015,N,75,1428,05,1958
43,138,67,1209,14,0,2015,N,75,1462,06,1959
44,139,49,1361,08,0,2015,N,68,1181,01,1960
45,139,68,1234,07,0,2015,N,87,1211,02,1961
46,139,53,1320,05,0,2015,N,66,1257,04,1962
47,139,54,1438,02,0,2015,N,60,1277,07,1963
48,139,66,1173,11b,0,2015,N,72,1328,03,1964
49,139,59,1268,04,0,2015,N,69,1452,05,1965
50,139,65,1242,02,0,2015,N,78,1455,07,1966
51,139,65,1332,08,0,2015,N,72,1458,01,1967
52,143,60,1462,06,0,2015,N,68,1112,02,1968
53,143,39,1452,05,0,2015,N,78,1246,01,1969
54,143,70,1455,07,0,2015,N,81,1323,03,1970
55,143,72,1314,04,0,2015,N,79,1458,01,1971
56,144,57,1428,05,0,2015,N,63,1181,01,1972
57,144,62,1417,11,0,2015,N,74,1211,02,1973
58,144,65,1301,08,0,2015,N,75,1257,04,1974
59,144,58,1328,03,0,2015,N,62,1277,07,1975
60,145,66,1323,03,0,2015,N,68,1246,01,1976
61,145,78,1112,02,0,2015,N,85,1458,01,1977
62,146,52,1211,02,0,2015,N,66,1181,01,1978
63,146,70,1257,04,1,2015,N,76,1277,07,1979
64,152,61,1277,07,0,2015,N,81,1181,01,1980
65,152,64,1246,01,0,2015,N,71,1458,01,1981
66,154,63,1458,01,0,2015,N,68,1181,01,1982
67,134,72,1251,16a,0,2013,N,73,1299,16b,0
68,134,54,1292,11a,0,2013,N,67,1388,11b,1
69,135,55,1254,16b,0,2013,N,68,1241,16a,2
70,135,71,1129,13a,0,2013,N,80,1247,13b,3
71,136,64,1125,11,0,2013,N,81,1112,06,4
72,136,56,1137,11,0,2013,N,68,1139,06,5
73,136,61,1424,05,0,2013,N,64,1143,12,6
74,136,72,1281,09,0,2013,N,84,1161,08,7
75,136,58,1380,16,0,2013,N,64,1211,01,8
76,136,62,1307,03,0,2013,N,68,1217,14,9
77,136,48,1299,16b,0,2013,N,79,1257,01,10
78,136,58,1172,14,0,2013,N,59,1266,03,11
79,136,52,1388,11b,0,2013,N,54,1272,06,12
80,136,56,1355,13,0,2013,N,71,1276,04,13
81,136,54,1434,14,0,2013,N,65,1277,03,14
82,136,55,1329,05,0,2013,N,68,1332,12,15
83,136,44,1308,13,0,2013,N,64,1387,04,16
84,136,34,1285,13,0,2013,N,81,1393,04,17
85,136,42,1103,12,0,2013,N,88,1433,05,18
86,136,55,1338,08,0,2013,N,73,1455,09,19
87,137,63,1153,10,0,2013,N,67,1166,07,20
88,137,61,1107,15,0,2013,N,73,1181,02,21
89,137,68,1207,02,0,2013,N,78,1195,15,22
90,137,47,1322,14,0,2013,N,79,1196,03,23
91,137,49,1160,10,0,2013,N,57,1228,07,24
92,137,62,1241,16a,0,2013,N,83,1231,01,25
93,137,58,1323,07,0,2013,N,76,1235,10,26
94,137,57,1443,16,0,2013,N,64,1242,01,27
95,137,61,1243,04,0,2013,N,63,1247,13b,28
96,137,49,1334,15,0,2013,N,78,1274,02,29
97,137,63,1417,06,0,2013,N,83,1278,11,30
98,137,46,1458,05,0,2013,N,57,1279,12,31
99,137,71,1437,09,0,2013,N,78,1314,08,32
100,137,70,1233,15,0,2013,N,95,1326,02,33
101,137,55,1328,10,0,2013,N,70,1361,07,34
102,137,72,1301,08,0,2013,N,76,1396,09,35
103,138,51,1217,14,0,2013,N,74,1112,06,36
104,138,56,1161,08,0,2013,N,82,1257,01,37
105,138,72,1139,06,0,2013,N,74,1266,03,38
106,138,53,1433,05,0,2013,N,78,1276,04,39
107,138,48,1272,06,0,2013,N,70,1277,03,40
108,138,57,1387,04,0,2013,N,74,1332,12,41
109,138,60,1143,12,0,2013,N,66,1393,04,42
110,138,70,1211,01,0,2013,N,76,1455,09,43
111,139,50,1166,07,0,2013,N,66,1181,02,44
112,139,71,1361,07,0,2013,N,81,1195,15,45
113,139,64,1278,11,0,2013,N,78,1196,03,46
114,139,52,1396,09,0,2013,N,58,1231,01,47
